smith_fp_c3
Cluster Index	Voxels	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
10	16071	9.3	46	-66	-10	5.3	-70.4	1.37
9	34	3.61	-54	-30	-2	-53.1	-33.4	-0.649
8	19	3.84	40	-4	60	40.4	-6.56	60.8
7	14	3.51	-4	-62	-10	-3.87	-62.3	-9.01
6	13	3.34	-46	-32	38	-46.6	-29.4	38.2
5	12	3.41	-44	-54	24	-44.2	-54.7	23
4	3	3.26	-10	-86	24	-9.34	-86	24.7
3	2	3.22	50	-18	-18	50	-17	-18
2	1	3.37	38	-40	66	38	-40	66
1	1	3.11	50	-40	4	50	-40	4
smith_lexec_c10
Cluster Index	Voxels	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
15	8230	10.6	-42	50	-2	-40.7	26.7	22.4
14	7723	12.5	-32	-68	48	-41.8	-56.2	34.9
13	510	6.79	-4	24	42	-4.73	25.4	38.5
12	415	5.69	10	-82	-24	22.5	-73.5	-26.5
11	327	4.6	40	-60	44	38.9	-56.6	46.5
10	258	5.07	-2	-34	30	-1.55	-35.7	29.6
9	165	4.36	-10	2	8	-12.1	2.63	9.57
8	79	5	-36	18	-4	-35.1	18.2	-3.76
7	23	3.76	34	16	56	36.5	15.1	55.3
6	12	3.41	46	40	14	45.8	39.8	11.8
5	4	3.46	58	-20	46	58.5	-20.5	45.5
4	3	3.19	58	-54	-18	57.3	-54	-17.3
3	1	3.1	50	-32	52	50	-32	52
2	1	3.13	2	-98	24	2	-98	24
1	1	3.19	-22	36	-16	-22	36	-16
smith_rexec_c9
Cluster Index	Voxels	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
23	16998	15.6	56	-50	46	46.7	-11.5	28
22	845	6.6	-48	-52	50	-48.3	-52.6	46.4
21	545	4.84	8	-54	34	5.32	-40.6	37
20	33	4.39	-32	-70	-26	-29.7	-71.7	-24.7
19	32	3.62	2	-90	0	4.6	-87.7	1
18	30	3.93	4	-96	24	4.9	-96.2	20.7
17	25	4.29	-46	-42	-38	-43	-42.5	-35.8
16	22	3.81	-16	-80	-24	-12.5	-80	-23
15	19	4.71	-2	62	26	-2.09	60.6	24.5
14	15	3.75	26	42	-14	26.1	42.7	-13.5
13	14	3.83	6	-98	4	5.6	-97.4	1.91
12	5	3.32	8	-80	-12	8.79	-80.4	-11.2
11	4	3.32	-34	22	50	-34.5	23	49
10	4	3.22	40	-8	48	39.5	-7.51	47
9	4	3.41	6	-10	28	6	-11	29
8	3	3.3	8	-2	54	8	-2	54
7	2	3.25	-38	-62	-28	-38	-61	-28
6	1	3.18	-30	26	50	-30	26	50
5	1	3.25	40	-88	24	40	-88	24
4	1	3.18	8	-14	8	8	-14	8
3	1	3.1	26	-78	-18	26	-78	-18
2	1	3.11	-42	24	-28	-42	24	-28
1	1	3.17	62	-2	-30	62	-2	-30
smith_sal_c8
Cluster Index	Voxels	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
22	20517	11.8	0	36	22	2.59	30.6	13.5
21	802	5.79	-6	-78	34	-11.4	-75.5	32.9
20	632	6.14	12	-76	34	14.9	-72.5	35.9
19	455	5.01	6	-36	44	2.51	-31.6	41.9
18	215	5	0	-28	24	1.37	-26.4	24.1
17	50	3.6	-26	-62	-24	-29.1	-64.2	-25.7
16	31	3.94	4	-82	-20	1.45	-81.6	-20.3
15	17	3.64	40	-58	-30	38.8	-58.5	-30.7
14	7	3.38	-46	-8	54	-47.1	-8.27	52.9
13	6	3.4	56	-40	22	56.6	-40.7	23
12	5	3.31	-18	-24	14	-17.6	-24.8	13.6
11	4	3.37	38	-6	60	38	-5.01	60
10	4	3.45	-60	0	4	-60	0.966	5.01
9	3	3.24	-36	-96	4	-36.7	-96	4.66
8	3	3.18	2	-74	-12	2	-74.7	-13.3
7	3	3.37	34	-70	-26	34.7	-69.3	-26
6	2	3.21	18	-24	-16	18	-25	-16
5	2	3.22	24	-58	-20	24	-57	-20
4	1	3.14	26	-8	70	26	-8	70
3	1	3.1	-12	44	46	-12	44	46
2	1	3.13	10	-48	36	10	-48	36
1	1	3.17	0	-20	-22	7.63e-06	-20	-22
smith_dmn_c4
Cluster Index	Voxels	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
12	7126	15.3	2	-58	30	0.772	-55.8	27
11	2398	8.13	2	56	-4	0.843	48.6	-1.7
10	2129	8.3	-44	-60	24	-44.6	-65.9	30.4
9	1572	8.82	54	-62	28	50.7	-59.4	26
8	263	4.97	60	-12	-16	60.8	-9.8	-17.3
7	118	4.23	-62	-16	-12	-60.6	-13.9	-14
6	25	3.48	66	-36	0	65.6	-36.6	0.165
5	9	3.36	24	38	48	23.8	36.5	48
4	4	3.24	-14	44	46	-15	44	45.5
3	4	3.19	10	64	20	9.99	63	21
2	3	3.18	0	-16	4	2	-16	4.67
1	1	3.15	-4	62	26	-4	62	26
